Numero,Wiki Friendly Name,Sestiere,lat,long,street view html,Affordability,Affordability (Scaled),Well-Served, Well-Served (Scaled),Touristy,Touristy (Scaled),Congestion,Congestion (Scaled),Accessibility,Reachability,Reachability (Scaled),Green Space,Green Space (Scaled)
#,Island of _____,,,,,,,,,,,,,,,,,
31,Island of San Polo,San Polo,45.437385,12.329833,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",9020000,0.9640681252,110,2.428256071,2.244837758,6.793088917,0.0296437394,8.270290753,0,0,0,0.08359425248,0.895868556
32,Island of Meloni,San Polo,45.437068,12.331381,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6413750,3.670641789,5,0.1103752759,0.5696202532,9.186256781,0.03467749051,7.976571876,2.5,0,0,0.1310657083,1.404613874
33,Island of Tolentini,San Croce,45.438563,12.32304,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3602500,6.590106619,245.5,5.419426049,1.082797428,8.453146532,0.01507824154,9.120186105,0,0,0,0.1973438728,2.114908203
34,Island of Frari,San Polo,45.437364,12.325836,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",2810000,7.413112711,453,10,0.9024590164,8.710772834,0.01417289734,9.173012849,0,15.125,5.041666667,0.1510413041,1.618689695
35,Island of Nomboli,San Polo,45.436744,12.328398,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",7765000,2.267377458,30,0.6622516556,1.899022801,7.287110284,0.0201261013,8.82564399,0,0,0,0.07022713406,0.7526149145
36,Island of Piazzale Roma,San Croce,45.437896,12.317422,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4351250,5.812534616,120,2.649006623,4.096774194,4.147465438,0.0005751393406,9.966440677,1,30,10,0.06303793395,0.6755692071
37,Island of Giardini Papadopoli,San Croce,45.438119,12.320677,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3596666.667,6.596164497,100,2.207505519,0,10,0.002903950468,9.830554779,2,0,0,0.5815776689,6.232691016
38,Island of Santa Marta,Dorsoduro,45.433562,12.313711,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",0,10,6,0.1324503311,0.1649269311,9.764390098,0.0026924211,9.842897496,0,5.5,1.833333333,0.3399237933,3.642918368
39,Island of Santa Maria Maggiore,San Croce,45.435967,12.317957,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4401250,5.760609942,10,0.2207505519,0.9071428571,8.704081633,0.007957369528,9.535688279,0,0,0,0.3437364474,3.683778079
40,Island of Malcanton,Dorsoduro,45.436317,12.321703,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3691666.667,6.497507616,105,2.317880795,0.4848484848,9.307359307,0.007170381933,9.581608927,0,0,0,0.1684168092,1.804900686
41,Island of San Pantalon,Dorsoduro,45.435499,12.325683,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4292500,5.873546109,30,0.6622516556,1.585858586,7.734487734,0.01172670999,9.315747638,0,0,0,0.09732697331,1.04304031
42,Island of Ca'Rizzi,San Croce,45.435556,12.319233,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3782500,6.40317779,0,0,0.7142857143,8.979591837,0.01692273436,9.012560132,0,0,0,0.3432262131,3.678309965
43,Island of Ragusei,Dorsoduro,45.434899,12.321592,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4572500,5.582767931,110,2.428256071,0.3043478261,9.565217391,0.00636686009,9.628494347,0,0,0,0.2534634072,2.716333838
44,Island of Cereri,Dorsoduro,45.43489,12.318939,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3745000,6.442121296,15,0.3311258278,0.2235294118,9.680672269,0.01425340917,9.168314992,0,0,0,0.1116433812,1.196467361
